cycle,range_bin,doppler_bin,output_hex
1039185000,0,0,00ccff51
1039195000,0,1,ff7b0135
1039205000,0,2,00d6fe35
1039215000,0,3,0024016a
1039225000,0,4,fd7fff63
1039235000,0,5,04e300fb
1039245000,0,6,fcc80088
1039255000,0,7,0076fe24
1039265000,0,8,ff2300e0
1039275000,0,9,02200041
1039285000,0,10,fdd4fe03
1039295000,0,11,0179047e
1039305000,0,12,ff3bfc49
1039315000,0,13,00c500b7
1039325000,0,14,0012ff3e
1039335000,0,15,ffa7018f
1039345000,0,16,0086ff0b
1039355000,0,17,fed1012d
1039365000,0,18,00a8fef3
1039375000,0,19,003e008a
1039385000,0,20,ffddffad
1039395000,0,21,ff93ff2d
1039405000,0,22,00c4ffbc
1039415000,0,23,fe4e00a8
1039425000,0,24,02af0250
1039435000,0,25,fe54fdad
1039445000,0,26,001a002d
1039455000,0,27,0079001a
1039465000,0,28,ffb5ffdb
1039475000,0,29,ffcd0001
1039485000,0,30,01a6ff56
1039495000,0,31,fd5900f9
1044575000,1,0,feb0011a
1044585000,1,1,01980055
1044595000,1,2,001fff35
1044605000,1,3,ff8b010f
1044615000,1,4,ffa9ff13
1044625000,1,5,01a2ff82
1044635000,1,6,fe60008e
1044645000,1,7,003e00d4
1044655000,1,8,ff31ff67
1044665000,1,9,00b90055
1044675000,1,10,fff8fec5
1044685000,1,11,0082025f
1044695000,1,12,ffe7fe41
1044705000,1,13,ff5dfe81
1044715000,1,14,0114031a
1044725000,1,15,001efe2f
1044735000,1,16,fe300076
1044745000,1,17,012a005d
1044755000,1,18,ffb1ff5d
1044765000,1,19,ffeb0125
1044775000,1,20,ff11ff75
1044785000,1,21,01d2ff76
1044795000,1,22,0040015c
1044805000,1,23,fd42fcb4
1044815000,1,24,04b303f9
1044825000,1,25,fc4dfea1
1044835000,1,26,01c4ff9d
1044845000,1,27,feb80039
1044855000,1,28,002bffef
1044865000,1,29,00e7ff8f
1044875000,1,30,00800070
1044885000,1,31,fee2febd
1049965000,2,0,0015ff8d
1049975000,2,1,ff52ffba
1049985000,2,2,01630169
1049995000,2,3,ffc5ff4c
1050005000,2,4,fdf3ff66
1050015000,2,5,02e4027f
1050025000,2,6,fe87fdec
1050035000,2,7,0112011a
1050045000,2,8,fe46ff9f
1050055000,2,9,0181ffc1
1050065000,2,10,0012ff14
1050075000,2,11,fec1010b
1050085000,2,12,010d005a
1050095000,2,13,fef2fdeb
1050105000,2,14,02100112
1050115000,2,15,fe690125
1050125000,2,16,ffa3004d
1050135000,2,17,0220fe62
1050145000,2,18,fd55013f
1050155000,2,19,0123feb8
1050165000,2,20,ffd7ff94
1050175000,2,21,ff2a0189
1050185000,2,22,0201ff52
1050195000,2,23,fe46ffc6
1050205000,2,24,014e0173
1050215000,2,25,ff01feaf
1050225000,2,26,00ea0100
1050235000,2,27,ff97fd6d
1050245000,2,28,ffed0370
1050255000,2,29,feecfe31
1050265000,2,30,02840084
1050275000,2,31,fe3fff8f
1055355000,3,0,0110fffe
1055365000,3,1,ffbeffa0
1055375000,3,2,00370120
1055385000,3,3,003a0003
1055395000,3,4,fde1feaa
1055405000,3,5,025502d3
1055415000,3,6,ff30fd68
1055425000,3,7,0044017c
1055435000,3,8,ffdfffe8
1055445000,3,9,003bff9b
1055455000,3,10,ff95ff7b
1055465000,3,11,00800182
1055475000,3,12,0005fe67
1055485000,3,13,ff3bfed0
1055495000,3,14,007f0167
1055505000,3,15,ffe40181
1055515000,3,16,017afec0
1055525000,3,17,fde0006c
1055535000,3,18,0085ffd0
1055545000,3,19,00f40003
1055555000,3,20,fe87ff9e
1055565000,3,21,00a3fe79
1055575000,3,22,ff6e031c
1055585000,3,23,00bcfd42
1055595000,3,24,012b0302
1055605000,3,25,fe6bfdad
1055615000,3,26,01530059
1055625000,3,27,fe920160
1055635000,3,28,009ffe51
1055645000,3,29,ff89ffb8
1055655000,3,30,012f0249
1055665000,3,31,fe4cfe11
1060745000,4,0,ff3300d6
1060755000,4,1,0140ff59
1060765000,4,2,00b2ffad
1060775000,4,3,fe3c01c9
1060785000,4,4,004fff66
1060795000,4,5,0318ff62
1060805000,4,6,fd750031
1060815000,4,7,ff160061
1060825000,4,8,019fffd7
1060835000,4,9,fee80012
1060845000,4,10,fffeff25
1060855000,4,11,0091022a
1060865000,4,12,0011fd75
1060875000,4,13,ff4b00f2
1060885000,4,14,010bffda
1060895000,4,15,00110052
1060905000,4,16,ff47fff4
1060915000,4,17,004c0173
1060925000,4,18,ff4efe15
1060935000,4,19,010800ff
1060945000,4,20,fed7ff48
1060955000,4,21,0070ffe4
1060965000,4,22,00990121
1060975000,4,23,fe10fdef
1060985000,4,24,049703e3
1060995000,4,25,fba8fc46
1061005000,4,26,01f201b9
1061015000,4,27,0037ffbe
1061025000,4,28,fe69ffb1
1061035000,4,29,0279ff84
1061045000,4,30,ff47012c
1061055000,4,31,feb5fe7e
1066135000,5,0,016301fc
1066145000,5,1,fea1000d
1066155000,5,2,00a7ff52
1066165000,5,3,004b0145
1066175000,5,4,ff510068
1066185000,5,5,0165ff0d
1066195000,5,6,fe81fe93
1066205000,5,7,005a0229
1066215000,5,8,ff92fe8f
1066225000,5,9,00d30104
1066235000,5,10,ff32ff37
1066245000,5,11,014d0226
1066255000,5,12,fecdfd29
1066265000,5,13,00a20124
1066275000,5,14,00f3ff03
1066285000,5,15,fdaa00e6
1066295000,5,16,02bbffa4
1066305000,5,17,fe8500ed
1066315000,5,18,fe93ff90
1066325000,5,19,01bfff31
1066335000,5,20,fef3011a
1066345000,5,21,00a3fee9
1066355000,5,22,ff4100cf
1066365000,5,23,008400c7
1066375000,5,24,01c8fe39
1066385000,5,25,fe1700d6
1066395000,5,26,003800eb
1066405000,5,27,00f5fe68
1066415000,5,28,ff47016d
1066425000,5,29,000efe72
1066435000,5,30,ff270297
1066445000,5,31,0014fc46
1071525000,6,0,00bd0135
1071535000,6,1,0044001d
1071545000,6,2,ff78fe6c
1071555000,6,3,0199009d
1071565000,6,4,fd0500fc
1071575000,6,5,03f3fff8
1071585000,6,6,fc670028
1071595000,6,7,0117fddc
1071605000,6,8,01450299
1071615000,6,9,fed9fe4c
1071625000,6,10,00170024
1071635000,6,11,00aa00bc
1071645000,6,12,fe84ff16
1071655000,6,13,019c00ee
1071665000,6,14,ff7fff71
